SampleIDs,BestCalls,cluster5,cluster2,cluster1,cluster3,cluster4,Label
TCGA-08-0517-01,cluster3,0.0383233266588492,0.0376230407963657,0.0295389169264737,0.881427371431736,0.0130873441865759,cluster3
TCGA-12-1093-01,cluster2,0.0272634706251814,0.899819848774211,0.0431915050966906,0.012036634100266,0.0176885414036513,cluster2
TCGA-06-2569-01,cluster1,0.0266189600293445,0.0165600198422054,0.448815530973179,0.498902102946438,0.0091033862088334,cluster1
TCGA-28-1751-01,cluster5,0.689186672396673,0.0959146259770487,0.185525836767362,0.0133834377303646,0.0159894271285519,cluster5
TCGA-19-1786-01,cluster1,0.18007335388251,0.0287156900991081,0.600732588989952,0.0129507932560448,0.177527573772385,cluster1
TCGA-19-0957-01,cluster5,0.800073726278895,0.123345709705828,0.0135471418025585,0.0180596585339671,0.0449737636787507,cluster5
TCGA-02-0038-01,cluster1,0.0248668736029617,0.0291165102809532,0.795698463361282,0.139673598491273,0.0106445542635302,cluster1
TCGA-12-0775-01,cluster5,0.483426985441284,0.22539222143117,0.222102039253638,0.0315047919968276,0.037573961877081,cluster5
TCGA-19-1789-01,cluster1,0.0226871586035287,0.0175677814587851,0.91789990249226,0.011670270658517,0.0301748867869094,cluster1
TCGA-27-1833-01,cluster1,0.140554031372367,0.0126867672589579,0.796712243535363,0.0278094680131462,0.0222374898201659,cluster1
TCGA-14-1034-01,cluster4,0.0208650452981849,0.0658927487414537,0.0826785848463675,0.011748878392517,0.818814742721477,cluster4
TCGA-02-0060-01,cluster1,0.0365577563545367,0.0187082634750269,0.808910358597876,0.119806255947512,0.0160173656250486,cluster1
TCGA-76-6285-01,cluster5,0.642554651339803,0.0106399806436404,0.0109282892391965,0.0185087214881113,0.317368357289249,cluster5
TCGA-02-0021-01,cluster1,0.0288726834436572,0.0329578848354361,0.898277405533454,0.025934512027712,0.0139575141597408,cluster1
TCGA-08-0524-01,cluster5,0.941665815795148,0.0149682335464996,0.0168458630769726,0.0121064990951344,0.0144135884862454,cluster5
TCGA-14-1454-01,cluster2,0.2297833763376,0.735791794386233,0.0132301794494872,0.00965359829269875,0.0115410515339815,cluster2
TCGA-02-0009-01,cluster1,0.0208004924314131,0.0159225666779733,0.888316529768562,0.0628344885986717,0.0121259225233796,cluster1
TCGA-12-0818-01,cluster3,0.0189333966311685,0.0381174451292324,0.143223986541585,0.782347109651734,0.0173780620462796,cluster3
TCGA-27-2526-01,cluster1,0.0262917043005372,0.0125625852484253,0.743779020227398,0.0103355448308993,0.20703114539274,cluster1
TCGA-02-0007-01,cluster1,0.0176231834265029,0.0267807913191075,0.883318428119243,0.0576796536359089,0.0145979434992381,cluster1
TCGA-06-0146-01,cluster3,0.0263703909280598,0.0166241320734867,0.0183510493438917,0.922858540970253,0.0157958866843087,cluster3
