SampleIDs,BestCalls,cluster1,cluster5,cluster2,cluster4,cluster3,Label
TCGA-41-3393-01,cluster5,0.110027528522197,0.770288879145333,0.0966415436556038,0.0116230857344924,0.0114189629423737,cluster5
TCGA-27-1838-01,cluster4,0.0110454007087137,0.0216785588877798,0.027562416574061,0.461287126632735,0.47842649719671,cluster4
TCGA-12-1093-01,cluster2,0.025032050564078,0.0212305592797001,0.898639700824775,0.0434540623725514,0.0116436269588954,cluster2
TCGA-06-1805-01,cluster3,0.0265971584625725,0.0353664426638474,0.0145382053686825,0.0204851924203625,0.903013001084535,cluster3
TCGA-02-0258-01,cluster3,0.0283209963974047,0.0392033024563752,0.0142783511520478,0.0203676082170894,0.897829741777083,cluster3
TCGA-16-1460-01,cluster3,0.0145857061454388,0.0345265528548051,0.0142888218933492,0.0490758987155456,0.887523020390861,cluster3
TCGA-08-0246-01,cluster1,0.514310937879976,0.013822890875336,0.424537695502282,0.0307415593184836,0.0165869164239227,cluster1
TCGA-14-3477-01,cluster5,0.0274559443222706,0.901377592541111,0.0258047946843024,0.0289303895309857,0.0164312789213306,cluster5
TCGA-06-0168-01,cluster4,0.126686962356998,0.021039356923172,0.0126986150002871,0.828614972605487,0.0109600931140564,cluster4
TCGA-02-0038-01,cluster1,0.848482228081062,0.0323597432221473,0.0878636805006592,0.0126925462496508,0.0186018019464805,cluster1
TCGA-02-0085-01,cluster5,0.120810793689643,0.797131731265624,0.017032177497377,0.0508344354586133,0.0141908620887427,cluster5
TCGA-06-0649-01,cluster4,0.0180706787656637,0.0373422622369513,0.0280199581180357,0.903050348092713,0.0135167527866367,cluster4
TCGA-19-1789-01,cluster1,0.914084136156253,0.0252821290580656,0.0186858811423253,0.0304475910480739,0.0115002625952828,cluster1
TCGA-12-0775-01,cluster5,0.382491033801272,0.301089053465546,0.232742598533546,0.0548178716590701,0.0288594425405665,cluster5
TCGA-02-0057-01,cluster1,0.912901235661237,0.026150926347956,0.0343946119631773,0.0150671583923861,0.011486067635244,cluster1
TCGA-12-0616-01,cluster5,0.0171481459780738,0.908718516737726,0.0255764054770224,0.0297207544621518,0.0188361773450266,cluster5
TCGA-12-0819-01,cluster5,0.646816500424277,0.0851354047959929,0.16334361043,0.0693415850248757,0.035362899324854,cluster1
TCGA-28-2506-01,cluster1,0.893851167509177,0.0365266489370139,0.0248526880651872,0.0336850646734437,0.0110844308151779,cluster1
TCGA-06-0410-01,cluster5,0.0143710166698904,0.817502463673956,0.14313494395788,0.0123531333207178,0.0126384423775561,cluster5
TCGA-16-1047-01,cluster2,0.0869924330334308,0.0199391351540241,0.810552585767236,0.070395394170639,0.0121204518746703,cluster2
TCGA-19-2625-01,cluster2,0.0742756926615157,0.0206412184081166,0.398637188653685,0.497365394517709,0.00908050575897374,cluster4
TCGA-02-0084-01,cluster3,0.0141997477584495,0.0142702816563305,0.0164927876500032,0.472318297901693,0.482718885033523,cluster3
