SampleIDs,BestCalls,cluster2,cluster1,cluster5,cluster3,cluster4,Label
TCGA-06-0750-01,cluster1,0.417363679392097,0.0127492374767954,0.116579396992353,0.0139218040588645,0.43938588207989,cluster4
TCGA-02-0033-01,cluster1,0.0689828499705702,0.667521497304268,0.160955758412993,0.0932669340516324,0.00927296026053644,cluster1
TCGA-06-0156-01,cluster2,0.934403090952413,0.0188008744024727,0.0105296446241162,0.011669221332769,0.0245971686882295,cluster2
TCGA-08-0351-01,cluster5,0.0197226209627798,0.0114181155845126,0.805220282460105,0.153918285908733,0.00972069508386991,cluster5
TCGA-14-0865-01,cluster5,0.802567824270984,0.102890596158656,0.0389751135944894,0.0340905545986966,0.0214759113771735,cluster2
TCGA-02-0321-01,cluster2,0.936764483548347,0.0102152801646786,0.0110966292959943,0.0125604937831951,0.029363113207785,cluster2
TCGA-02-0015-01,cluster2,0.867084391858835,0.0941864096170605,0.0176489711954483,0.0108900653893889,0.0101901619392676,cluster2
TCGA-06-6390-01,cluster1,0.0659725616170725,0.160153548220763,0.466727083448609,0.241249654492043,0.0658971522215136,cluster5
TCGA-06-0394-01,cluster2,0.9102789783343,0.039515771813112,0.0105610831581565,0.0288664498557395,0.0107777168386919,cluster2
TCGA-14-1455-01,cluster2,0.879779949664647,0.0614000822890724,0.0171985119554512,0.0248164242254879,0.0168050318653415,cluster2
TCGA-28-5218-01,cluster1,0.04242701598004,0.820856691264596,0.115626603671051,0.0107983343080856,0.0102913547762265,cluster1
TCGA-32-2634-01,cluster3,0.0367383296525778,0.0195569881498195,0.152869238586667,0.774727935625313,0.0161075079856228,cluster3
TCGA-08-0389-01,cluster3,0.0953777959018774,0.0122505375652976,0.0572942270580792,0.592838781518335,0.242238657956411,cluster3
TCGA-14-0787-01,cluster4,0.0607871672542954,0.031060963866575,0.0192036651159518,0.0217068929971971,0.867241310765981,cluster4
TCGA-41-3392-01,cluster3,0.0112249067902888,0.0168982286475643,0.176959393823325,0.73163317113549,0.0632842996033323,cluster5
TCGA-27-2528-01,cluster1,0.292615392524064,0.661106031705674,0.00897760992249807,0.00971305866733003,0.0275879071804343,cluster1
